restaurant_id,restaurant_name,cuisine,zone
2482,Dutta Ltd Foods,North Indian,Jayanagar
2483,Palla-Mohan Foods,South Indian,Indiranagar
2484,Ghose-Handa Foods,North Indian,Whitefield
2485,"Bhagat, Samra and Toor Foods",Chinese,HSR Layout
2486,"Sura, Bal and Narang Foods",North Indian,Whitefield
2487,Bajwa and Sons Foods,North Indian,Koramangala
2488,"Lad, Datta and Batta Foods",Pizza,Jayanagar
2489,Ram-Sankaran Foods,Pizza,Whitefield
2490,Khanna and Sons Foods,Pizza,HSR Layout
2491,Seth-Kanda Foods,Pizza,Whitefield
2492,"Acharya, Balan and Bali Foods",Cafe,Whitefield
2493,Krish-Majumdar Foods,Pizza,HSR Layout
2494,Narayanan Group Foods,Cafe,Koramangala
2495,Sani Group Foods,South Indian,Koramangala
2496,Mane-Chaudhry Foods,Cafe,Koramangala
2497,Nigam-Tiwari Foods,Biryani,Indiranagar
2498,Sarma PLC Foods,Biryani,Koramangala
2499,Halder-Chakrabarti Foods,South Indian,Whitefield
